"","Species","NonGaps","removedPerGaps","removedMasking"
"Felis_catus","Felis_catus",560,FALSE,FALSE
"Vulpes_vulpes","Vulpes_vulpes",557,FALSE,FALSE
"Vulpes_macrotis","Vulpes_macrotis",557,FALSE,FALSE
"Vulpes_corsac","Vulpes_corsac",557,FALSE,FALSE
"Vulpes_zerda","Vulpes_zerda",557,FALSE,FALSE
"Felis_silvestris","Felis_silvestris",557,FALSE,FALSE
"Vulpes_velox","Vulpes_velox",561,FALSE,FALSE
"Vulpes_lagopus","Vulpes_lagopus",561,FALSE,FALSE
"Phoca_vitulina","Phoca_vitulina",540,FALSE,FALSE
"Phoca_largha","Phoca_largha",561,FALSE,FALSE
"Pagophilus_groenlandicus","Pagophilus_groenlandicus",561,FALSE,FALSE
"Manis_pentadactyla","Manis_pentadactyla",269,FALSE,FALSE
